username,github,team,pts,p1s,p2s,p3s,p1g,p2g,p3g,p1e,p2e,p3e,np,num_attendees
David Guan,,David Guan,,1,,,,,,,,,,10
ZJ,xiaodaigh,xiaodaigh,,,1,,,,,,,,,10
